FirstName,LastName,DateOfBirth,Gender,PhoneNumber,Address,City,SchoolName,Grade,CourseLanguage,Shift
Brit,McNea,15/12/2021,2,442-580-0921,10842 Trailsway Drive,Kunduz,Boise Bible College,5,2,1
Gale,Swatheridge,06/11/2021,2,170-266-5429,91 Carioca Crossing,Muesanaik,Université Catholique de Louvain,3,1,1
Auria,Thorius,23/08/2022,2,937-604-3399,692 Dunning Crossing,Lysekil,"Bourgas University ""Prof. Assen Zlatarov""",9,1,2
Abbie,Hogbin,26/09/2022,1,425-191-0644,9 Vidon Point,Novoaleksandrovsk,Universidade Estadual de Montes Claros,2,3,2
Kenny,Schober,04/11/2021,2,640-391-4125,061 Washington Trail,Río Viejo,University of National and World Economy,5,3,1
Nissa,Besemer,01/01/2022,2,146-165-8783,65 Namekagon Plaza,Lolotique,Madonna University,4,2,1
Perry,Olyfat,29/04/2022,2,498-255-1204,42423 Golden Leaf Plaza,Zhaotong,St. Mary's University of Minnesota,8,3,2
Silvano,Roj,07/10/2022,1,996-855-3906,72900 Express Pass,Itabaianinha,Afe Babalola University,1,2,1
Mildred,McMearty,11/05/2022,2,622-384-8414,12083 Derek Park,La Mesa,Kazan State Pedagogical University,10,3,1
Kalie,McNeill,11/05/2022,1,969-659-2204,902 8th Park,Sumberan,Knowledge College for Science and Technology,5,1,2
Ortensia,Nicol,29/05/2022,2,663-378-3789,60 Packers Junction,El Cairo,University of International Business,2,2,2
Datha,Dyett,10/10/2022,1,587-343-2633,8 Warrior Hill,Podujeva,Flinders University of South Australia,4,1,2
Ransell,Mustarde,31/03/2022,2,938-251-4591,040 Westerfield Point,Stavanger,St. John's & St. Mary's Institute of Technology,8,3,1
Ardelia,Harcourt,20/06/2022,2,213-874-3010,2754 6th Avenue,Antsiranana,Kyushu Women's University,11,2,1
Maxine,Duns,06/07/2022,1,110-273-5598,85 Division Alley,Fteliá,"Institue of Technology, Tralee",3,1,1
Constantia,Klimuk,20/07/2022,1,430-579-2357,420 Laurel Way,Dawung,University of Northeastern Philippines,1,2,2
Bellanca,Mazillius,26/09/2022,1,577-352-1509,7867 Esker Circle,Mielec,South China Construction University,9,3,2
Becky,Tunsley,30/07/2022,2,537-965-9469,2 Mitchell Plaza,São Bernardo do Campo,Eastern College,2,1,1
Joey,Gaunt,07/09/2022,2,583-970-9802,03001 Oneill Court,Limbe,Tsinghua University,1,2,1
Yovonnda,Studdard,31/01/2022,1,885-257-0599,9 Everett Pass,Lyubar,Universidad José Santos Ossa,6,1,1
