FirstName,LastName,DateOfBirth,Gender,PhoneNumber,Address,City,SchoolName,Grade,CourseLanguage,Shift
Emmalee,Wavell,10/12/2021,2,798-832-4923,5368 West Terrace,Little Current,Boston Architectural Center,2,1,2
Horatia,Neilson,22/06/2022,1,771-971-0283,3463 Del Mar Circle,Kaset Wisai,University of Witwatersrand,5,3,2
Karine,Pandya,05/02/2022,1,732-106-2171,08239 Vernon Lane,New Brunswick,Gifu Pharmaceutical University,6,2,2
Maximilian,Fodden,15/09/2022,2,527-937-1245,07 Hoard Circle,Salvador,"Universidad Católica Boliviana, Santa Cruz",10,2,2
Rand,Roly,05/10/2022,1,837-236-8825,253 Sutteridge Street,Roma,University of Applied Sciences,2,2,2
Franchot,Channer,31/10/2021,2,789-779-8108,73363 Sommers Junction,Chengzihe,Istanbul Ticaret University,3,1,2
Hewie,Peace,14/11/2021,2,899-242-6379,53252 Anniversary Pass,Ouégoa,Wesleyan University Philippines,1,2,2
Wildon,Gleader,21/10/2022,1,405-105-3969,3 Sugar Lane,Wołomin,Jubail University College,11,1,2
Vikky,Hyde-Chambers,30/03/2022,1,328-861-5897,8658 Mendota Parkway,Las Matas de Farfán,Janos Selye University,9,3,1
Lonnie,De Bruin,23/12/2021,2,941-914-4288,6 Saint Paul Avenue,Túquerres,International University School of Medicine (IUSOM),10,1,2
Lucius,Seak,13/09/2022,1,126-253-4162,0667 Sunnyside Terrace,Sączów,Isfahan University of Medical Sciences,10,3,1
Camella,Starbucke,14/01/2022,1,151-297-1719,8 Schmedeman Center,Carmo do Paranaíba,Minamikyushu University,11,2,1
Bevon,Castro,19/07/2022,2,847-747-6621,074 Monterey Park,Lanshan,Universidad Santiago de Cali,3,3,1
Griffin,Pardon,21/07/2022,1,271-778-0096,10490 6th Street,Waekolong,Postgraduate lnstitute of Medical Education and Research,11,1,2
Janet,Ksandra,17/11/2021,1,714-837-1129,123 Dryden Road,Punkalaidun,Universidad Catolica del Maule,9,2,2
Stefania,Pablo,22/02/2022,2,390-386-5323,6161 8th Way,Ungsang,Universidad Libre de Costa Rica,3,1,2
Fawn,Wooller,03/10/2022,2,266-570-2073,15934 Moose Avenue,Kultuk,Gifu Women's University,10,1,1
Rhody,Witul,29/04/2022,2,760-361-4456,56 Eastlawn Place,Jetis,Perak Islamic College,9,2,1
Natty,Llewellen,23/07/2022,2,540-311-4050,90399 Eastlawn Street,Changuillo,Southwest State University,11,3,2
Ephraim,Giorgini,18/08/2022,1,985-542-4893,86458 Badeau Plaza,Ngori,Ohio University - Zanesville,5,1,2
Lucien,Piffe,20/11/2021,1,634-846-8939,7 Hermina Trail,Yuyang,University of Performing Arts in Bratislava,6,1,2
Jeffie,Nacey,14/05/2022,2,112-996-0944,283 Mockingbird Circle,Kertamukti,North Georgia College,11,2,1
Kyrstin,Brobeck,25/04/2022,2,140-778-4127,0253 Knutson Plaza,Tarimbang,Darul Ulum Islamic College,5,3,2
Loria,Lyver,10/09/2022,1,581-789-7789,41 Fair Oaks Lane,Pakokku,"University of California, Los Angeles",11,1,2
